contact_pair	end2	region1	region2	pixel_size	chrom2	chrom1	start2	dist_from_diag	end1	start1	Sample	value	Patient	Celltype
(('chr1', 44410000, 44420000), ('chr1', 180230000, 180240000))	180240000	('chr1', 44410000, 44420000)	('chr1', 180230000, 180240000)	100000000	chr1	chr1	180230000	135820000.0	44420000	44410000	3M_NeuN-	0.572652866948086	3M	NeuN-
(('chr1', 46480000, 46490000), ('chr1', 50420000, 50430000))	50430000	('chr1', 46480000, 46490000)	('chr1', 50420000, 50430000)	100000000	chr1	chr1	50420000	3940000.0	46490000	46480000	3M_NeuN-	1.1972770996319981	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 47710000, 47720000))	47720000	('chr1', 47230000, 47240000)	('chr1', 47710000, 47720000)	100000000	chr1	chr1	47710000	480000.0	47240000	47230000	3M_NeuN-	0.8513413437990234	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 50420000, 50430000))	50430000	('chr1', 47230000, 47240000)	('chr1', 50420000, 50430000)	100000000	chr1	chr1	50420000	3190000.0	47240000	47230000	3M_NeuN-	1.821279063482453	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 63320000, 63330000))	63330000	('chr1', 47230000, 47240000)	('chr1', 63320000, 63330000)	100000000	chr1	chr1	63320000	16090000.0	47240000	47230000	3M_NeuN-	0.9063879872164492	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 75120000, 75130000))	75130000	('chr1', 47230000, 47240000)	('chr1', 75120000, 75130000)	100000000	chr1	chr1	75120000	27890000.0	47240000	47230000	3M_NeuN-	0.7888013267512062	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 90720000, 90730000))	90730000	('chr1', 47230000, 47240000)	('chr1', 90720000, 90730000)	100000000	chr1	chr1	90720000	43490000.0	47240000	47230000	3M_NeuN-	1.749701696713185	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 92480000, 92490000))	92490000	('chr1', 47230000, 47240000)	('chr1', 92480000, 92490000)	100000000	chr1	chr1	92480000	45250000.0	47240000	47230000	3M_NeuN-	1.5716045482228767	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr1', 118990000, 119000000))	119000000	('chr1', 47230000, 47240000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	71760000.0	47240000	47230000	3M_NeuN-	1.3619080217420478	3M	NeuN-
(('chr1', 47230000, 47240000), ('chr7', 155420000, 155520000))	155520000	('chr1', 47230000, 47240000)	('chr7', 155420000, 155520000)	1000000000	chr7	chr1	155420000	108235000.0	47240000	47230000	3M_NeuN-		3M	NeuN-
(('chr1', 47430000, 47440000), ('chr1', 47710000, 47720000))	47720000	('chr1', 47430000, 47440000)	('chr1', 47710000, 47720000)	100000000	chr1	chr1	47710000	280000.0	47440000	47430000	3M_NeuN-	0.9268455696381103	3M	NeuN-
(('chr1', 47430000, 47440000), ('chr1', 50420000, 50430000))	50430000	('chr1', 47430000, 47440000)	('chr1', 50420000, 50430000)	100000000	chr1	chr1	50420000	2990000.0	47440000	47430000	3M_NeuN-	1.8840004909573325	3M	NeuN-
(('chr1', 47430000, 47440000), ('chr1', 63320000, 63330000))	63330000	('chr1', 47430000, 47440000)	('chr1', 63320000, 63330000)	100000000	chr1	chr1	63320000	15890000.0	47440000	47430000	3M_NeuN-	1.0472356210743539	3M	NeuN-
(('chr1', 47430000, 47440000), ('chr1', 75120000, 75130000))	75130000	('chr1', 47430000, 47440000)	('chr1', 75120000, 75130000)	100000000	chr1	chr1	75120000	27690000.0	47440000	47430000	3M_NeuN-	0.689630525769595	3M	NeuN-
(('chr1', 47430000, 47440000), ('chr1', 90720000, 90730000))	90730000	('chr1', 47430000, 47440000)	('chr1', 90720000, 90730000)	100000000	chr1	chr1	90720000	43290000.0	47440000	47430000	3M_NeuN-	1.493024911555468	3M	NeuN-
(('chr1', 47430000, 47440000), ('chr1', 118990000, 119000000))	119000000	('chr1', 47430000, 47440000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	71560000.0	47440000	47430000	3M_NeuN-	1.5369785275392338	3M	NeuN-
(('chr1', 47710000, 47720000), ('chr1', 50420000, 50430000))	50430000	('chr1', 47710000, 47720000)	('chr1', 50420000, 50430000)	100000000	chr1	chr1	50420000	2710000.0	47720000	47710000	3M_NeuN-	1.6626595266553938	3M	NeuN-
(('chr1', 47710000, 47720000), ('chr1', 63320000, 63330000))	63330000	('chr1', 47710000, 47720000)	('chr1', 63320000, 63330000)	100000000	chr1	chr1	63320000	15610000.0	47720000	47710000	3M_NeuN-	1.267869549800032	3M	NeuN-
(('chr1', 47710000, 47720000), ('chr1', 90720000, 90730000))	90730000	('chr1', 47710000, 47720000)	('chr1', 90720000, 90730000)	100000000	chr1	chr1	90720000	43010000.0	47720000	47710000	3M_NeuN-	1.0234385650900952	3M	NeuN-
(('chr1', 47710000, 47720000), ('chr1', 118990000, 119000000))	119000000	('chr1', 47710000, 47720000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	71280000.0	47720000	47710000	3M_NeuN-	2.6441691374369687	3M	NeuN-
(('chr1', 50420000, 50430000), ('chr1', 63320000, 63330000))	63330000	('chr1', 50420000, 50430000)	('chr1', 63320000, 63330000)	100000000	chr1	chr1	63320000	12900000.0	50430000	50420000	3M_NeuN-	1.4264731367015195	3M	NeuN-
(('chr1', 50420000, 50430000), ('chr1', 75120000, 75130000))	75130000	('chr1', 50420000, 50430000)	('chr1', 75120000, 75130000)	100000000	chr1	chr1	75120000	24700000.0	50430000	50420000	3M_NeuN-	0.8535317917604314	3M	NeuN-
(('chr1', 50420000, 50430000), ('chr1', 90720000, 90730000))	90730000	('chr1', 50420000, 50430000)	('chr1', 90720000, 90730000)	100000000	chr1	chr1	90720000	40300000.0	50430000	50420000	3M_NeuN-	1.412418079656339	3M	NeuN-
(('chr1', 50420000, 50430000), ('chr1', 118990000, 119000000))	119000000	('chr1', 50420000, 50430000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	68570000.0	50430000	50420000	3M_NeuN-	1.1879651254225068	3M	NeuN-
(('chr1', 63320000, 63330000), ('chr1', 75120000, 75130000))	75130000	('chr1', 63320000, 63330000)	('chr1', 75120000, 75130000)	100000000	chr1	chr1	75120000	11800000.0	63330000	63320000	3M_NeuN-	0.8313377350974884	3M	NeuN-
(('chr1', 63320000, 63330000), ('chr1', 90720000, 90730000))	90730000	('chr1', 63320000, 63330000)	('chr1', 90720000, 90730000)	100000000	chr1	chr1	90720000	27400000.0	63330000	63320000	3M_NeuN-	1.4961893030328364	3M	NeuN-
(('chr1', 63320000, 63330000), ('chr1', 92480000, 92490000))	92490000	('chr1', 63320000, 63330000)	('chr1', 92480000, 92490000)	100000000	chr1	chr1	92480000	29160000.0	63330000	63320000	3M_NeuN-	1.5815086285605136	3M	NeuN-
(('chr1', 63320000, 63330000), ('chr1', 118990000, 119000000))	119000000	('chr1', 63320000, 63330000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	55670000.0	63330000	63320000	3M_NeuN-	0.8521997896701639	3M	NeuN-
(('chr1', 75120000, 75130000), ('chr1', 90720000, 90730000))	90730000	('chr1', 75120000, 75130000)	('chr1', 90720000, 90730000)	100000000	chr1	chr1	90720000	15600000.0	75130000	75120000	3M_NeuN-	1.221933089703238	3M	NeuN-
(('chr1', 75120000, 75130000), ('chr1', 92480000, 92490000))	92490000	('chr1', 75120000, 75130000)	('chr1', 92480000, 92490000)	100000000	chr1	chr1	92480000	17360000.0	75130000	75120000	3M_NeuN-	1.6624043206553645	3M	NeuN-
(('chr1', 75120000, 75130000), ('chr1', 118990000, 119000000))	119000000	('chr1', 75120000, 75130000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	43870000.0	75130000	75120000	3M_NeuN-	2.72185913272019	3M	NeuN-
(('chr1', 90720000, 90730000), ('chr1', 92480000, 92490000))	92490000	('chr1', 90720000, 90730000)	('chr1', 92480000, 92490000)	100000000	chr1	chr1	92480000	1760000.0	90730000	90720000	3M_NeuN-	1.42337419073919	3M	NeuN-
(('chr1', 90720000, 90730000), ('chr1', 118990000, 119000000))	119000000	('chr1', 90720000, 90730000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	28270000.0	90730000	90720000	3M_NeuN-	1.7052613640334462	3M	NeuN-
(('chr1', 90720000, 90730000), ('chr1', 200030000, 200040000))	200040000	('chr1', 90720000, 90730000)	('chr1', 200030000, 200040000)	100000000	chr1	chr1	200030000	109310000.0	90730000	90720000	3M_NeuN-	0.9813004172940877	3M	NeuN-
(('chr1', 92480000, 92490000), ('chr1', 118990000, 119000000))	119000000	('chr1', 92480000, 92490000)	('chr1', 118990000, 119000000)	100000000	chr1	chr1	118990000	26510000.0	92490000	92480000	3M_NeuN-	1.2657367156273687	3M	NeuN-
(('chr1', 118990000, 119000000), ('chr1', 180230000, 180240000))	180240000	('chr1', 118990000, 119000000)	('chr1', 180230000, 180240000)	100000000	chr1	chr1	180230000	61240000.0	119000000	118990000	3M_NeuN-	0.722755482420144	3M	NeuN-
(('chr1', 118990000, 119000000), ('chr1', 200030000, 200040000))	200040000	('chr1', 118990000, 119000000)	('chr1', 200030000, 200040000)	100000000	chr1	chr1	200030000	81040000.0	119000000	118990000	3M_NeuN-	1.0313507460179292	3M	NeuN-
(('chr1', 165350000, 165360000), ('chr1', 197910000, 197920000))	197920000	('chr1', 165350000, 165360000)	('chr1', 197910000, 197920000)	100000000	chr1	chr1	197910000	32560000.0	165360000	165350000	3M_NeuN-	0.7681811032042624	3M	NeuN-
(('chr1', 165350000, 165360000), ('chr1', 200030000, 200040000))	200040000	('chr1', 165350000, 165360000)	('chr1', 200030000, 200040000)	100000000	chr1	chr1	200030000	34680000.0	165360000	165350000	3M_NeuN-	1.3790876649772523	3M	NeuN-
(('chr1', 180230000, 180240000), ('chr1', 197910000, 197920000))	197920000	('chr1', 180230000, 180240000)	('chr1', 197910000, 197920000)	100000000	chr1	chr1	197910000	17680000.0	180240000	180230000	3M_NeuN-	1.1111381593563576	3M	NeuN-
(('chr1', 180230000, 180240000), ('chr1', 200030000, 200040000))	200040000	('chr1', 180230000, 180240000)	('chr1', 200030000, 200040000)	100000000	chr1	chr1	200030000	19800000.0	180240000	180230000	3M_NeuN-	0.811969765851869	3M	NeuN-
(('chr1', 180230000, 180240000), ('chr1', 220880000, 220890000))	220890000	('chr1', 180230000, 180240000)	('chr1', 220880000, 220890000)	100000000	chr1	chr1	220880000	40650000.0	180240000	180230000	3M_NeuN-	1.782278167969602	3M	NeuN-
(('chr1', 180230000, 180240000), ('chr1', 229490000, 229500000))	229500000	('chr1', 180230000, 180240000)	('chr1', 229490000, 229500000)	100000000	chr1	chr1	229490000	49260000.0	180240000	180230000	3M_NeuN-	2.431998617231573	3M	NeuN-
(('chr1', 197910000, 197920000), ('chr1', 200030000, 200040000))	200040000	('chr1', 197910000, 197920000)	('chr1', 200030000, 200040000)	100000000	chr1	chr1	200030000	2120000.0	197920000	197910000	3M_NeuN-	1.6061193207549553	3M	NeuN-
(('chr1', 197910000, 197920000), ('chr1', 213980000, 213990000))	213990000	('chr1', 197910000, 197920000)	('chr1', 213980000, 213990000)	100000000	chr1	chr1	213980000	16070000.0	197920000	197910000	3M_NeuN-	1.559651501875731	3M	NeuN-
(('chr1', 200030000, 200040000), ('chr1', 213980000, 213990000))	213990000	('chr1', 200030000, 200040000)	('chr1', 213980000, 213990000)	100000000	chr1	chr1	213980000	13950000.0	200040000	200030000	3M_NeuN-	1.569250883518777	3M	NeuN-
(('chr2', 44930000, 44940000), ('chr2', 236160000, 236170000))	236170000	('chr2', 44930000, 44940000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	191230000.0	44940000	44930000	3M_NeuN-	1.50003259692378	3M	NeuN-
(('chr2', 45000000, 45010000), ('chr2', 222280000, 222290000))	222290000	('chr2', 45000000, 45010000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	177280000.0	45010000	45000000	3M_NeuN-	1.9622224807661992	3M	NeuN-
(('chr2', 45000000, 45010000), ('chr2', 236160000, 236170000))	236170000	('chr2', 45000000, 45010000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	191160000.0	45010000	45000000	3M_NeuN-	0.6917296416640747	3M	NeuN-
(('chr2', 66560000, 66570000), ('chr2', 118830000, 118840000))	118840000	('chr2', 66560000, 66570000)	('chr2', 118830000, 118840000)	100000000	chr2	chr2	118830000	52270000.0	66570000	66560000	3M_NeuN-	0.820318993101877	3M	NeuN-
(('chr2', 70880000, 70890000), ('chr2', 170810000, 170820000))	170820000	('chr2', 70880000, 70890000)	('chr2', 170810000, 170820000)	100000000	chr2	chr2	170810000	99930000.0	70890000	70880000	3M_NeuN-	1.0416921727669717	3M	NeuN-
(('chr2', 70880000, 70890000), ('chr2', 236160000, 236170000))	236170000	('chr2', 70880000, 70890000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	165280000.0	70890000	70880000	3M_NeuN-	2.863179514023767	3M	NeuN-
(('chr2', 113270000, 113280000), ('chr2', 118210000, 118220000))	118220000	('chr2', 113270000, 113280000)	('chr2', 118210000, 118220000)	100000000	chr2	chr2	118210000	4940000.0	113280000	113270000	3M_NeuN-	1.2211320102450707	3M	NeuN-
(('chr2', 113270000, 113280000), ('chr2', 118830000, 118840000))	118840000	('chr2', 113270000, 113280000)	('chr2', 118830000, 118840000)	100000000	chr2	chr2	118830000	5560000.0	113280000	113270000	3M_NeuN-	1.4542256078589553	3M	NeuN-
(('chr2', 113270000, 113280000), ('chr2', 206260000, 206270000))	206270000	('chr2', 113270000, 113280000)	('chr2', 206260000, 206270000)	100000000	chr2	chr2	206260000	92990000.0	113280000	113270000	3M_NeuN-	1.562115948779375	3M	NeuN-
(('chr2', 113270000, 113280000), ('chr2', 236160000, 236170000))	236170000	('chr2', 113270000, 113280000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	122890000.0	113280000	113270000	3M_NeuN-	0.8768985839391774	3M	NeuN-
(('chr2', 118210000, 118220000), ('chr2', 118830000, 118840000))	118840000	('chr2', 118210000, 118220000)	('chr2', 118830000, 118840000)	100000000	chr2	chr2	118830000	620000.0	118220000	118210000	3M_NeuN-	1.6278846554162554	3M	NeuN-
(('chr2', 118210000, 118220000), ('chr2', 170350000, 170360000))	170360000	('chr2', 118210000, 118220000)	('chr2', 170350000, 170360000)	100000000	chr2	chr2	170350000	52140000.0	118220000	118210000	3M_NeuN-	0.6620450932233116	3M	NeuN-
(('chr2', 118210000, 118220000), ('chr2', 206260000, 206270000))	206270000	('chr2', 118210000, 118220000)	('chr2', 206260000, 206270000)	100000000	chr2	chr2	206260000	88050000.0	118220000	118210000	3M_NeuN-	2.074431784728937	3M	NeuN-
(('chr2', 118210000, 118220000), ('chr2', 222280000, 222290000))	222290000	('chr2', 118210000, 118220000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	104070000.0	118220000	118210000	3M_NeuN-	1.7267881070956925	3M	NeuN-
(('chr2', 118210000, 118220000), ('chr2', 236160000, 236170000))	236170000	('chr2', 118210000, 118220000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	117950000.0	118220000	118210000	3M_NeuN-	0.5653827165366172	3M	NeuN-
(('chr2', 118830000, 118840000), ('chr2', 176060000, 176170000))	176170000	('chr2', 118830000, 118840000)	('chr2', 176060000, 176170000)	1100000000	chr2	chr2	176060000	57280000.0	118840000	118830000	3M_NeuN-	1.4210154121400902	3M	NeuN-
(('chr2', 118830000, 118840000), ('chr2', 206260000, 206270000))	206270000	('chr2', 118830000, 118840000)	('chr2', 206260000, 206270000)	100000000	chr2	chr2	206260000	87430000.0	118840000	118830000	3M_NeuN-	0.7653789204331902	3M	NeuN-
(('chr2', 118830000, 118840000), ('chr2', 222280000, 222290000))	222290000	('chr2', 118830000, 118840000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	103450000.0	118840000	118830000	3M_NeuN-	3.0011458953493055	3M	NeuN-
(('chr2', 118830000, 118840000), ('chr2', 236160000, 236170000))	236170000	('chr2', 118830000, 118840000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	117330000.0	118840000	118830000	3M_NeuN-	0.8557884476821266	3M	NeuN-
(('chr2', 170350000, 170360000), ('chr2', 170810000, 170820000))	170820000	('chr2', 170350000, 170360000)	('chr2', 170810000, 170820000)	100000000	chr2	chr2	170810000	460000.0	170360000	170350000	3M_NeuN-	1.338670192889563	3M	NeuN-
(('chr2', 170350000, 170360000), ('chr2', 172090000, 172100000))	172100000	('chr2', 170350000, 170360000)	('chr2', 172090000, 172100000)	100000000	chr2	chr2	172090000	1740000.0	170360000	170350000	3M_NeuN-	0.9835199410587386	3M	NeuN-
(('chr2', 170350000, 170360000), ('chr2', 174320000, 174330000))	174330000	('chr2', 170350000, 170360000)	('chr2', 174320000, 174330000)	100000000	chr2	chr2	174320000	3970000.0	170360000	170350000	3M_NeuN-	1.075192056021968	3M	NeuN-
(('chr2', 170350000, 170360000), ('chr2', 222280000, 222290000))	222290000	('chr2', 170350000, 170360000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	51930000.0	170360000	170350000	3M_NeuN-	1.3481258707836266	3M	NeuN-
(('chr2', 170810000, 170820000), ('chr2', 172090000, 172100000))	172100000	('chr2', 170810000, 170820000)	('chr2', 172090000, 172100000)	100000000	chr2	chr2	172090000	1280000.0	170820000	170810000	3M_NeuN-	1.0037386967106954	3M	NeuN-
(('chr2', 170810000, 170820000), ('chr2', 174320000, 174330000))	174330000	('chr2', 170810000, 170820000)	('chr2', 174320000, 174330000)	100000000	chr2	chr2	174320000	3510000.0	170820000	170810000	3M_NeuN-	0.9828535719320757	3M	NeuN-
(('chr2', 170810000, 170820000), ('chr2', 176060000, 176170000))	176170000	('chr2', 170810000, 170820000)	('chr2', 176060000, 176170000)	1100000000	chr2	chr2	176060000	5300000.0	170820000	170810000	3M_NeuN-	1.3435738148775695	3M	NeuN-
(('chr2', 170810000, 170820000), ('chr2', 206260000, 206270000))	206270000	('chr2', 170810000, 170820000)	('chr2', 206260000, 206270000)	100000000	chr2	chr2	206260000	35450000.0	170820000	170810000	3M_NeuN-	1.5435060803159188	3M	NeuN-
(('chr2', 170810000, 170820000), ('chr2', 222280000, 222290000))	222290000	('chr2', 170810000, 170820000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	51470000.0	170820000	170810000	3M_NeuN-	1.9875658971605725	3M	NeuN-
(('chr2', 172090000, 172100000), ('chr2', 174320000, 174330000))	174330000	('chr2', 172090000, 172100000)	('chr2', 174320000, 174330000)	100000000	chr2	chr2	174320000	2230000.0	172100000	172090000	3M_NeuN-	1.6921280383293429	3M	NeuN-
(('chr2', 172090000, 172100000), ('chr2', 176060000, 176170000))	176170000	('chr2', 172090000, 172100000)	('chr2', 176060000, 176170000)	1100000000	chr2	chr2	176060000	4020000.0	172100000	172090000	3M_NeuN-	1.506299371463468	3M	NeuN-
(('chr2', 172090000, 172100000), ('chr2', 206260000, 206270000))	206270000	('chr2', 172090000, 172100000)	('chr2', 206260000, 206270000)	100000000	chr2	chr2	206260000	34170000.0	172100000	172090000	3M_NeuN-	1.390186506647574	3M	NeuN-
(('chr2', 172090000, 172100000), ('chr2', 222280000, 222290000))	222290000	('chr2', 172090000, 172100000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	50190000.0	172100000	172090000	3M_NeuN-	1.2658149521377	3M	NeuN-
(('chr2', 172090000, 172100000), ('chr2', 236160000, 236170000))	236170000	('chr2', 172090000, 172100000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	64070000.0	172100000	172090000	3M_NeuN-	1.1157818456254502	3M	NeuN-
(('chr2', 174320000, 174330000), ('chr2', 176060000, 176170000))	176170000	('chr2', 174320000, 174330000)	('chr2', 176060000, 176170000)	1100000000	chr2	chr2	176060000	1790000.0	174330000	174320000	3M_NeuN-	1.2649834228833585	3M	NeuN-
(('chr2', 174320000, 174330000), ('chr2', 206260000, 206270000))	206270000	('chr2', 174320000, 174330000)	('chr2', 206260000, 206270000)	100000000	chr2	chr2	206260000	31940000.0	174330000	174320000	3M_NeuN-	1.5209334813802795	3M	NeuN-
(('chr2', 174320000, 174330000), ('chr2', 222280000, 222290000))	222290000	('chr2', 174320000, 174330000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	47960000.0	174330000	174320000	3M_NeuN-	1.2996223528125403	3M	NeuN-
(('chr2', 176060000, 176170000), ('chr2', 206260000, 206270000))	206270000	('chr2', 176060000, 176170000)	('chr2', 206260000, 206270000)	1100000000	chr2	chr2	206260000	30150000.0	176170000	176060000	3M_NeuN-	1.4441721645859904	3M	NeuN-
(('chr2', 176060000, 176170000), ('chr2', 222280000, 222290000))	222290000	('chr2', 176060000, 176170000)	('chr2', 222280000, 222290000)	1100000000	chr2	chr2	222280000	46170000.0	176170000	176060000	3M_NeuN-	1.982403904580765	3M	NeuN-
(('chr2', 176060000, 176170000), ('chr2', 236160000, 236170000))	236170000	('chr2', 176060000, 176170000)	('chr2', 236160000, 236170000)	1100000000	chr2	chr2	236160000	60050000.0	176170000	176060000	3M_NeuN-	1.1015919854298302	3M	NeuN-
(('chr2', 206260000, 206270000), ('chr2', 222280000, 222290000))	222290000	('chr2', 206260000, 206270000)	('chr2', 222280000, 222290000)	100000000	chr2	chr2	222280000	16020000.0	206270000	206260000	3M_NeuN-	1.5919479009415067	3M	NeuN-
(('chr2', 206260000, 206270000), ('chr2', 236160000, 236170000))	236170000	('chr2', 206260000, 206270000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	29900000.0	206270000	206260000	3M_NeuN-	0.9909664603818223	3M	NeuN-
(('chr2', 222280000, 222290000), ('chr2', 236160000, 236170000))	236170000	('chr2', 222280000, 222290000)	('chr2', 236160000, 236170000)	100000000	chr2	chr2	236160000	13880000.0	222290000	222280000	3M_NeuN-	1.4539623589209814	3M	NeuN-
(('chr2', 222280000, 222290000), ('chr4', 4840000, 4850000))	4850000	('chr2', 222280000, 222290000)	('chr4', 4840000, 4850000)	100000000	chr4	chr2	4840000	217440000.0	222290000	222280000	3M_NeuN-		3M	NeuN-
(('chr3', 27710000, 27720000), ('chr3', 138930000, 138940000))	138940000	('chr3', 27710000, 27720000)	('chr3', 138930000, 138940000)	100000000	chr3	chr3	138930000	111220000.0	27720000	27710000	3M_NeuN-	0.7877127333765569	3M	NeuN-
(('chr3', 27710000, 27720000), ('chr3', 147390000, 147400000))	147400000	('chr3', 27710000, 27720000)	('chr3', 147390000, 147400000)	100000000	chr3	chr3	147390000	119680000.0	27720000	27710000	3M_NeuN-	1.0555298806593427	3M	NeuN-
(('chr3', 27710000, 27720000), ('chr3', 158090000, 158100000))	158100000	('chr3', 27710000, 27720000)	('chr3', 158090000, 158100000)	100000000	chr3	chr3	158090000	130380000.0	27720000	27710000	3M_NeuN-	1.483153062128166	3M	NeuN-
(('chr3', 27710000, 27720000), ('chr3', 169130000, 169140000))	169140000	('chr3', 27710000, 27720000)	('chr3', 169130000, 169140000)	100000000	chr3	chr3	169130000	141420000.0	27720000	27710000	3M_NeuN-	1.3250803646037783	3M	NeuN-
(('chr3', 27710000, 27720000), ('chr3', 169650000, 169660000))	169660000	('chr3', 27710000, 27720000)	('chr3', 169650000, 169660000)	100000000	chr3	chr3	169650000	141940000.0	27720000	27710000	3M_NeuN-	0.40890236864954144	3M	NeuN-
(('chr3', 128480000, 128490000), ('chr3', 138930000, 138940000))	138940000	('chr3', 128480000, 128490000)	('chr3', 138930000, 138940000)	100000000	chr3	chr3	138930000	10450000.0	128490000	128480000	3M_NeuN-	1.1162389416723322	3M	NeuN-
(('chr3', 128480000, 128490000), ('chr3', 158090000, 158100000))	158100000	('chr3', 128480000, 128490000)	('chr3', 158090000, 158100000)	100000000	chr3	chr3	158090000	29610000.0	128490000	128480000	3M_NeuN-	0.5195128535206885	3M	NeuN-
(('chr3', 137760000, 137770000), ('chr3', 138930000, 138940000))	138940000	('chr3', 137760000, 137770000)	('chr3', 138930000, 138940000)	100000000	chr3	chr3	138930000	1170000.0	137770000	137760000	3M_NeuN-	0.565306237406439	3M	NeuN-
(('chr3', 137760000, 137770000), ('chr3', 147390000, 147400000))	147400000	('chr3', 137760000, 137770000)	('chr3', 147390000, 147400000)	100000000	chr3	chr3	147390000	9630000.0	137770000	137760000	3M_NeuN-	1.108049140362067	3M	NeuN-
(('chr3', 137760000, 137770000), ('chr3', 158090000, 158100000))	158100000	('chr3', 137760000, 137770000)	('chr3', 158090000, 158100000)	100000000	chr3	chr3	158090000	20330000.0	137770000	137760000	3M_NeuN-	1.4943489437370459	3M	NeuN-
(('chr3', 137760000, 137770000), ('chr3', 169650000, 169660000))	169660000	('chr3', 137760000, 137770000)	('chr3', 169650000, 169660000)	100000000	chr3	chr3	169650000	31890000.0	137770000	137760000	3M_NeuN-	0.9921552669411255	3M	NeuN-
